Product ID,Product Name,Description,Brand,Main Image URL,Additional Image URLs,Base Price,Sale Price,Currency,Primary Category,Sub-category,Tags,Size,Color,Material,Average Rating,Reviews,Vendor Name,Vendor ID,Active Promotions,Direct URL to marketplace
1001,Basic Tee,A basic cotton t-shirt,Fashion Brand A,http://example.com/images/tee-main.jpg,"http://example.com/images/tee-side.jpg, http://example.com/images/tee-back.jpg",20,15,USD,Men,T-Shirts,"summer,casual",S/M/L,White/Cyan/Blue,Cotton,4.5,"Good fit, comfortable.",Fashion Supplier A,V001,10% off summer sale,http://marketplace.com/product/1001
1002,Slim Fit Trousers,Stylish slim fit trousers,Fashion Brand B,http://example.com/images/trouser-main.jpg,"http://example.com/images/trouser-side.jpg, http://example.com/images/trouser-back.jpg",50,45,USD,Men,Trousers,"formal,slim fit",30/32/34,Black/Khaki/Grey,Cotton,4.2,Bit tight on the waist.,Fashion Supplier B,V002,5% off new arrivals,http://marketplace.com/product/1002
1003,Winter Jacket,Insulated winter jacket,Fashion Brand C,http://example.com/images/jacket-main.jpg,"http://example.com/images/jacket-side.jpg, http://example.com/images/jacket-back.jpg",120,100,USD,Men,Jackets,"winter,warm",M/L/XL,Black/Brown/Olive,Polyester,4.8,Kept me warm in freezing temperatures.,Fashion Supplier C,V003,$20 off clearance,http://marketplace.com/product/1003
1021,Basic Tee,A basic cotton t-shirt,Fashion Brand A,http://example.com/images/tee-main1.jpg,"http://example.com/images/tee-side1.jpg, http://example.com/images/tee-back1.jpg",20,15,USD,Men,T-Shirts,"summer,casual",S/M/L,White,Cotton,4.5,Good fit.,Fashion Supplier A,V001,10% off summer sale,http://marketplace.com/product/1001
1022,Basic Tee,A basic cotton t-shirt,Fashion Brand A,http://example.com/images/tee-main2.jpg,"http://example.com/images/tee-side2.jpg, http://example.com/images/tee-back2.jpg",21,16,USD,Men,T-Shirts,"summer,casual",S/M/L,Blue,Cotton,4.4,Very comfortable.,Fashion Supplier A,V001,10% off summer sale,http://marketplace.com/product/1002
100100,Basic Tee,A basic cotton t-shirt,Fashion Brand A,http://example.com/images/tee-main100.jpg,"http://example.com/images/tee-side100.jpg, http://example.com/images/tee-back100.jpg",120,115,USD,Men,T-Shirts,"summer,casual",S/M/L,Black,Cotton,4.8,My favorite tee.,Fashion Supplier A,V001,10% off summer sale,http://marketplace.com/product/100100
3001,Basic Tee,A simple cotton t-shirt for daily wear,Fashion Brand A,http://example.com/images/tee-main1.jpg,"http://example.com/images/tee-side1.jpg, http://example.com/images/tee-back1.jpg",20,15,USD,Men,T-Shirts,"casual,summer",S/M/L,White,Cotton,4.5,Fits well!,Fashion Supplier A,V001,10% off summer sale,http://marketplace.com/product/1001
3002,Denim Jacket,Stylish blue denim jacket for cool weather,Fashion Brand B,http://example.com/images/jacket-main2.jpg,"http://example.com/images/jacket-side2.jpg, http://example.com/images/jacket-back2.jpg",50,40,USD,Women,Jackets,"fall,denim",S/M/L,Blue,Denim,4.7,Very stylish!,Fashion Supplier B,V002,15% off fall collection,http://marketplace.com/product/1002
3101,Basic Tee,A simple cotton t-shirt for daily wear,Fashion Brand A,http://example.com/images/tee-main1.jpg,"http://example.com/images/tee-side1.jpg, http://example.com/images/tee-back1.jpg",20,15,USD,Men,T-Shirts,"casual,summer",S/M/L,White,Cotton,4.5,Fits well!,Fashion Supplier A,V001,10% off summer sale,http://marketplace.com/product/1001
3202,Denim Jacket,Stylish blue denim jacket for cool weather,Fashion Brand B,http://example.com/images/jacket-main2.jpg,"http://example.com/images/jacket-side2.jpg, http://example.com/images/jacket-back2.jpg",50,40,USD,Women,Jackets,"fall,denim",S/M/L,Blue,Denim,4.7,Very stylish!,Fashion Supplier B,V002,15% off fall collection,http://marketplace.com/product/1002
