Product ID,Product Name,Description,Brand,Main Image URL,Additional Image URLs,Base Price,Sale Price,Currency,Primary Category,Sub-category,Tags,Size,Color,Material,Average Rating,Reviews,Vendor Name,Vendor ID,Active Promotions,Direct URL to marketplace
1001,CHILI PUFFER HOOD - Vinterjakker,warm winter jacket,Jack & Jones,https://img01.ztat.net/article/spp-media-p1/6b4981cdff524fb39061b687a609601e/3c959d1ed3944a75816f5528186edace.jpg?imwidth=1800,,"519,00",,DKK,Men,Jacket,"winter,warm",M/L/XL,Black/Blue/Green,Polyester,4.5,So warm!,Zalando,V001,,https://www.zalando.dk/jack-and-jones-jjchili-puffer-hood-vinterjakker-schwarz-ja222t10f-q12.html
1002,AIGLE WINTER JACKETS AIW23MOUI028 - Vinterjakker,warm winter jacket,Aigle,https://img01.ztat.net/article/spp-media-p1/437fdca62b494bf08b65289640e0bcdc/c3bd2f99fafb41e3a52e630fed749136.jpg?imwidth=1800&filter=packshot,,"2 835,90",,DKK,Men,Jacket,"winter,warm",M/L,Khaki,Polyamid,4.2,Perfect for winter!,Zalando,V001,,https://www.zalando.dk/aigle-vinterjakker-black-ai222t03q-q11.html
1003,PIKE LAKE™ HOODED JACKET - WINTER JACKET - Vinterjakker,casual winter jacket,Columbia,https://img01.ztat.net/article/spp-media-p1/8ca563495ca23772a535919f052e106f/0031e7fc4868413ab0f609ec15147342.jpg?imwidth=1800,,"1 495,00","1 271,00",DKK,Men,Jacket,"winter,warm, casual",S/M/L/XL,Black/Shark/Olive Green,Polyester,4.3,Kept me warm,Zalando,V001,,https://www.zalando.dk/columbia-outdoor-jakke-black-c2342f01y-q11.html
1004,adidas Handball Spezial,"sport sneakers, regular fit, lace closure, leather upper, textile lining",adidas,https://images.stockx.com/images/adidas-Handball-Spezial-Cloud-White.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=1&trim=color&updated_at=1694240903&q=57,,"115,00",,USD,Unisex,Sneakers,"sport, casual","36,37,38,39,40,41,42",Cloud White,,4.1,So stylish!,StockX,V002,,https://stockx.com/en-gb/adidas-handball-spezial-cloud-white
1005,adidas 3 Vulc Shoes,"sport sneakers, regular fit, lace closure, Vulcanised rubber outsole.",adidas,https://media.handball-store.com/catalog/product/cache/image/1800x/9df78eab33525d08d6e5fb8d27136e95/a/d/adidas-originals_b22705_1_footwear_photography_side_lateral_center_view_white_000.jpg,,"66,22","56,28",USD,Unisex,Sneakers,"sport, casual","36,37,38,39,40,41,42",White,,4.3,Very stylish!,Handball-Store,V003,,https://handball-store.com/b22705-adidas-3-vulc-shoes-white-white-metallic-gold
1006,adidas HANDBALL SPEZIAL SHOES,"sport sneakers, regular fit, lace closure, leather upper, textile lining",adidas,"https://assets.adidas.com/images/h_840,f_auto,q_auto,fl_lossy,c_fill,g_auto/27bf1e7ef90d4624a547d86d54dac34e_9366/Handball_Spezial_Shoes_White_IE9837_01_standard.jpg",,"110,00",,USD,Unisex,Sneakers,"sport, casual","36,37,38,39,40,41,42",Cloud White,,4.2,Fits well!,Adidas,V004,,https://www.adidas.com/us/handball-spezial-shoes/IE9837.html
1007,Columbia Women's Heavenly Hooded Jacket,casual winter jacket,Columbia,https://m.media-amazon.com/images/I/616N1h1bLZS._AC_UX569_.jpg,,"150,00","140,00",USD,Women,Jacket,"winter,warm, casual",S/M/L/XL,Black/Red/Pink,Polyester,4.7,Amazingly warm and lightweight,Amazon,V005,,https://www.amazon.com/Columbia-Womens-Heavenly-Hooded-Jacket/dp/B01MYU9QR7/ref=sr_1_3?qid=1697711618&refinements=p_89%3AColumbia&s=apparel&sr=1-3&th=1&psc=1
1008,Columbia Men's Ascender Softshell Front-zip Jacket,"casual winter jacket, water resistant",Columbia,https://m.media-amazon.com/images/I/71gluQqwAYL._AC_UY550_.jpg,,"115,00",,USD,Men,Jacket,"winter,warm, casual",S/M/L/XL,Black/Red/Delta/Graphite,Polyester,4.7,Great jacket for everyday use at a great price!,Amazon,V005,,https://www.amazon.com/Columbia-Ascender-Softshell-Jacket-Resistant/dp/B00HQ4KS3W/ref=sr_1_6?keywords=Columbia%2BBlack%2BJacket&qid=1697711646&sr=8-6&th=1&psc=1
1009,Columbia Men's Delta Ridge Down Jacket,casual winter jacket,Columbia,https://m.media-amazon.com/images/I/71M7mEwpmLL._AC_UX569_.jpg,,"150,00","138,79",USD,Men,Jacket,"warm, casual",S/M/L/XL,Black/Navy/Green,Polyester,4.7,Perfect!,Amazon,V005,,https://www.amazon.com/Columbia-Delta-Ridge-Jacket-Medium/dp/B07JBZ627V/ref=sr_1_26?keywords=Columbia+Black+Jacket&qid=1697711646&sr=8-26
1010,CLUB TEE - T-shirts basic,regular cotton tshirt,Nike,https://img01.ztat.net/article/spp-media-p1/e24b03d53a714675a6ced6dd68125818/757070488a5b46b8838e282a1654f019.jpg?imwidth=1800,,"199,00",,DKK,Men,T-shirt,"casual, sport, everyday, regular",S/M/L/XL,White/Pink/Aligator/Baltic,Cotton,4.3,Cool!,Zalando,V001,,https://www.zalando.dk/nike-sportswear-club-tee-t-shirts-basic-ni122o0ce-a12.html
